% RMS difference of BT_sarta - BT_kcarta for 206 daytime
% FOVs using ECMWF profiles.  This is an independent
% profile test of sarta; compare with the results
% using the regression profiles (regprof_rms.txt).
%
% ID      freq    RMS
%----  --------  -----
    1   649.612  0.010
    2   649.851  0.009
    3   650.089  0.011
    4   650.328  0.015
    5   650.567  0.014
    6   650.806  0.011
    7   651.046  0.007
    8   651.285  0.005
    9   651.525  0.004
   10   651.765  0.012
   11   652.005  0.012
   12   652.245  0.007
   13   652.486  0.009
   14   652.727  0.011
   15   652.968  0.007
   16   653.209  0.009
   17   653.450  0.015
   18   653.691  0.010
   19   653.933  0.006
   20   654.175  0.006
   21   654.417  0.004
   22   654.659  0.006
   23   654.901  0.014
   24   655.144  0.012
   25   655.387  0.005
   26   655.630  0.009
   27   655.873  0.008
   28   656.116  0.008
   29   656.360  0.009
   30   656.604  0.011
   31   656.848  0.006
   32   657.092  0.009
   33   657.336  0.006
   34   657.581  0.011
   35   657.825  0.009
   36   658.070  0.013
   37   658.315  0.010
   38   658.561  0.012
   39   658.806  0.013
   40   659.052  0.007
   41   659.298  0.008
   42   659.544  0.015
   43   659.790  0.013
   44   660.036  0.006
   45   660.283  0.006
   46   660.530  0.006
   47   660.777  0.006
   48   661.024  0.012
   49   661.272  0.013
   50   661.519  0.007
   51   661.767  0.010
   52   662.015  0.013
   53   662.263  0.025
   54   662.512  0.024
   55   662.761  0.017
   56   663.009  0.014
   57   663.258  0.016
   58   663.508  0.013
   59   663.757  0.014
   60   664.007  0.011
   61   664.256  0.011
   62   664.506  0.012
   63   664.757  0.017
   64   665.007  0.016
   65   665.258  0.012
   66   665.508  0.010
   67   665.760  0.015
   68   666.011  0.011
   69   666.262  0.002
   70   666.514  0.005
   71   666.766  0.008
   72   667.018  0.006
   73   667.270  0.031
   74   667.522  0.023
   75   667.775  0.011
   76   668.028  0.021
   77   668.281  0.034
   78   668.534  0.036
   79   668.787  0.033
   80   669.041  0.023
   81   669.295  0.018
   82   669.549  0.016
   83   669.803  0.014
   84   670.057  0.032
   85   670.312  0.035
   86   670.567  0.020
   87   670.822  0.017
   88   671.077  0.018
   89   671.333  0.019
   90   671.588  0.014
   91   671.844  0.012
   92   672.100  0.012
   93   672.357  0.009
   94   672.613  0.008
   95   672.870  0.011
   96   673.127  0.009
   97   673.384  0.006
   98   673.641  0.007
   99   673.899  0.006
  100   674.156  0.008
  101   674.414  0.017
  102   674.672  0.010
  103   674.931  0.014
  104   675.189  0.007
  105   675.448  0.010
  106   675.707  0.007
  107   675.966  0.012
  108   676.226  0.012
  109   676.485  0.007
  110   676.745  0.007
  111   677.005  0.005
  112   677.265  0.007
  113   677.526  0.010
  114   677.786  0.012
  115   678.047  0.008
  116   678.308  0.006
  117   678.569  0.005
  118   678.831  0.015
  119   679.093  0.013
  120   679.355  0.012
