% RMS fitting errors for the 48 training profiles at 6 angles.
% September 2002 "m135f" AIRS-RTA
%
% These errors are the root mean square difference in the BT
% (brightness temperature) computed using the regression
% training data (convolved layer-to-space transmittances),
% and BT computed using the fast model.  For these calculations
% we used surface emissivity=unity and reflectivity=zero.
%
%  ID    freq     RMS
%----  --------  -----
    1   649.612  0.019
    2   649.851  0.017
    3   650.089  0.019
    4   650.328  0.023
    5   650.567  0.020
    6   650.806  0.015
    7   651.046  0.018
    8   651.285  0.013
    9   651.525  0.008
   10   651.765  0.017
   11   652.005  0.016
   12   652.245  0.010
   13   652.486  0.013
   14   652.727  0.020
   15   652.968  0.013
   16   653.209  0.013
   17   653.450  0.016
   18   653.691  0.012
   19   653.933  0.011
   20   654.175  0.015
   21   654.417  0.008
   22   654.659  0.010
   23   654.901  0.016
   24   655.144  0.016
   25   655.387  0.008
   26   655.630  0.014
   27   655.873  0.012
   28   656.116  0.009
   29   656.360  0.016
   30   656.604  0.016
   31   656.848  0.011
   32   657.092  0.010
   33   657.336  0.015
   34   657.581  0.010
   35   657.825  0.014
   36   658.070  0.018
   37   658.315  0.012
   38   658.561  0.009
   39   658.806  0.011
   40   659.052  0.009
   41   659.298  0.014
   42   659.544  0.018
   43   659.790  0.015
   44   660.036  0.010
   45   660.283  0.012
   46   660.530  0.014
   47   660.777  0.010
   48   661.024  0.017
   49   661.272  0.017
   50   661.519  0.011
   51   661.767  0.012
   52   662.015  0.015
   53   662.263  0.019
   54   662.512  0.024
   55   662.761  0.016
   56   663.009  0.016
   57   663.258  0.019
   58   663.508  0.023
   59   663.757  0.024
   60   664.007  0.017
   61   664.256  0.018
   62   664.506  0.015
   63   664.757  0.018
   64   665.007  0.015
   65   665.258  0.017
   66   665.508  0.015
   67   665.760  0.013
   68   666.011  0.010
   69   666.262  0.006
   70   666.514  0.009
   71   666.766  0.013
   72   667.018  0.009
   73   667.270  0.033
   74   667.522  0.024
   75   667.775  0.027
   76   668.028  0.033
   77   668.281  0.033
   78   668.534  0.037
