% AIRS Jan04 fast model fitting results over the 48 training
% profiles at 6 angles.  BT is the mean of the 288 (=48*6)
% BTobs spectra, RMS is the RMS of BTobs-BTcal, and amax is
% the maximum absolute value of BTobs-BTcal.
%
% Scott Hannon, 8 January 2004
%
% ID     freq      BT      RMS    amax
%----  --------  ------  ------  ------
    1   649.612  222.45  0.0193  0.0782
    2   649.851  221.10  0.0171  0.0828
    3   650.090  222.68  0.0187  0.0993
    4   650.328  230.48  0.0231  0.0924
    5   650.567  229.24  0.0205  0.0747
    6   650.807  222.44  0.0153  0.0540
    7   651.046  218.29  0.0180  0.0796
    8   651.285  217.30  0.0127  0.0633
    9   651.525  217.97  0.0078  0.0299
   10   651.765  226.07  0.0177  0.0723
   11   652.005  230.02  0.0163  0.0711
   12   652.245  223.36  0.0099  0.0382
   13   652.486  219.60  0.0138  0.0718
   14   652.727  218.14  0.0197  0.1181
   15   652.968  217.46  0.0126  0.0837
   16   653.209  223.12  0.0129  0.0828
   17   653.450  230.19  0.0162  0.1063
   18   653.691  225.26  0.0126  0.0708
   19   653.933  220.44  0.0108  0.0466
   20   654.175  218.47  0.0147  0.0517
   21   654.417  216.90  0.0078  0.0378
   22   654.659  220.51  0.0104  0.0471
   23   654.902  229.65  0.0165  0.1108
   24   655.144  228.13  0.0162  0.1097
   25   655.387  221.52  0.0079  0.0283
   26   655.630  219.97  0.0141  0.0571
   27   655.873  217.69  0.0125  0.0663
   28   656.116  218.83  0.0094  0.0317
   29   656.360  227.33  0.0167  0.0938
   30   656.604  229.81  0.0165  0.1035
   31   656.848  222.52  0.0111  0.0506
   32   657.092  220.46  0.0106  0.0417
   33   657.336  218.55  0.0148  0.0582
   34   657.581  217.72  0.0101  0.0516
   35   657.825  224.58  0.0142  0.0722
   36   658.070  230.11  0.0183  0.1200
   37   658.315  224.44  0.0118  0.0568
   38   658.561  220.03  0.0084  0.0357
   39   658.806  218.39  0.0109  0.0402
   40   659.052  217.19  0.0095  0.0455
   41   659.298  221.88  0.0140  0.0648
   42   659.544  229.34  0.0183  0.1200
   43   659.790  226.53  0.0148  0.0930
   44   660.037  220.47  0.0101  0.0458
   45   660.283  219.19  0.0126  0.0648
   46   660.530  217.54  0.0139  0.0582
   47   660.777  219.83  0.0099  0.0393
   48   661.024  227.25  0.0176  0.1179
   49   661.272  227.46  0.0173  0.1131
   50   661.519  220.48  0.0112  0.0448
   51   661.767  219.01  0.0117  0.0440
   52   662.015  218.71  0.0152  0.0586
   53   662.263  224.50  0.0195  0.1076
   54   662.512  234.68  0.0245  0.1252
   55   662.761  235.98  0.0166  0.0833
   56   663.009  230.86  0.0162  0.0696
   57   663.258  226.47  0.0188  0.0825
   58   663.508  223.72  0.0232  0.1015
   59   663.757  222.29  0.0240  0.1109
   60   664.007  223.75  0.0177  0.0773
   61   664.256  226.60  0.0183  0.1046
   62   664.506  223.81  0.0156  0.0878
   63   664.757  225.40  0.0178  0.0888
   64   665.007  226.62  0.0151  0.0491
   65   665.258  224.38  0.0166  0.0537
   66   665.509  222.71  0.0152  0.0590
   67   665.759  224.38  0.0133  0.0770
   68   666.011  222.00  0.0106  0.0615
   69   666.262  218.31  0.0059  0.0250
   70   666.514  219.85  0.0090  0.0369
   71   666.766  222.28  0.0131  0.0555
   72   667.018  225.23  0.0090  0.0408
   73   667.270  236.31  0.0328  0.1503
   74   667.522  247.91  0.0240  0.1540
   75   667.775  249.43  0.0275  0.1221
   76   668.028  248.62  0.0327  0.1328
   77   668.281  247.67  0.0324  0.1619
   78   668.534  245.26  0.0372  0.1502
   79   668.787  241.19  0.0356  0.1335
   80   669.041  237.50  0.0293  0.1291
   81   669.295  235.28  0.0329  0.1750
   82   669.549  235.10  0.0291  0.1272
   83   669.803  234.29  0.0259  0.0938
   84   670.057  228.64  0.0333  0.1169
   85   670.312  224.18  0.0325  0.1029
   86   670.567  221.84  0.0284  0.0946
   87   670.822  221.70  0.0263  0.0995
   88   671.077  226.67  0.0237  0.1068
   89   671.333  231.15  0.0241  0.1333
   90   671.588  225.70  0.0230  0.0760
   91   671.844  220.26  0.0192  0.0581
   92   672.100  218.01  0.0145  0.0429
   93   672.357  219.60  0.0112  0.0385
   94   672.613  225.51  0.0184  0.1119
   95   672.870  231.25  0.0230  0.1771
   96   673.127  227.06  0.0172  0.0850
   97   673.384  221.16  0.0100  0.0362
   98   673.641  217.73  0.0124  0.0553
   99   673.899  218.58  0.0082  0.0275
  100   674.156  224.70  0.0125  0.0748
  101   674.414  231.11  0.0200  0.1581
